aid,size,cpumax,cpumin,cpuavg,cpustdev,cpuxg,memmax,memmin,memavg,memstdev,memxg,disk,p
app_1,1,1.117,0.5,0.5068,0.0625,0.6102,6.624,6.1939,6.5129,0.0911,0.1111,60,0
app_10,1,4,4,4,0,0,8,8,8,0,0,60,0
app_100,10,4,0.5,0.8121,0.4326,3.1879,6.4632,5.2096,5.8403,0.4017,0.6229,60,0
app_1000,2,0.5,0.5,0.5,0,0,3.7489,3.1877,3.5702,0.1282,0.1787,80,0
app_1001,3,0.5,0.5,0.5,0,0,3.162,2.4619,2.9842,0.1593,0.1779,60,0
app_1002,6,1.776,0.5,0.9375,0.3805,0.8385,5.2816,4.9156,5.1701,0.0809,0.1115,80,0
app_1003,1,0.5,0.5,0.5,0,0,3.6061,3.1232,3.3903,0.1724,0.2158,60,0
app_1004,3,0.5,0.5,0.5,0,0,6.1515,1,2.3555,2.2674,3.796,60,0
app_1005,2,0.607,0.5,0.5011,0.0108,0.1059,5.0273,4.3572,4.8401,0.193,0.1872,60,0
app_1006,1,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1007,1,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1008,4,0.5,0.5,0.5,0,0,3.1743,2.8202,3.0815,0.0634,0.0928,60,0
app_1009,11,3.548,0.5,0.6609,0.4958,2.8871,5.4951,3.5256,4.6099,0.3814,0.8852,60,0
app_101,2,0.5,0.5,0.5,0,0,3.0961,2.3699,2.9128,0.1371,0.1834,60,0
app_1010,1,0.5,0.5,0.5,0,0,4.8048,3.6971,4.5206,0.262,0.2842,60,0
app_1011,5,1.472,0.5,0.6487,0.2889,0.8233,3.3063,1.9878,2.9042,0.2582,0.4021,60,0
app_1012,7,0.636,0.5,0.5014,0.0137,0.1346,5.2566,3.1911,3.9894,0.6204,1.2672,60,0
app_1013,7,0.567,0.5,0.5016,0.0085,0.0654,4.8712,3.8062,4.6311,0.1712,0.2401,60,0
app_1014,3,0.5,0.5,0.5,0,0,5.3544,3.6791,4.5568,0.4828,0.7976,60,0
app_1015,2,0.5,0.5,0.5,0,0,3.4745,2.5444,3.1913,0.1665,0.2832,60,0
app_1016,6,1.724,0.5,0.5632,0.1686,1.1608,4.8612,3.5111,4.2496,0.2636,0.6116,60,0
app_1017,4,0.5,0.5,0.5,0,0,2.8969,1,1.1991,0.5647,1.6978,60,0
app_1018,2,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1019,6,2.683,0.5,0.5422,0.2942,2.1408,7.0016,1,4.3134,0.6105,2.6882,60,0
app_102,1,0.5,0.5,0.5,0,0,3.0566,2.8702,3.0298,0.0245,0.0268,60,0
app_1020,3,0.5,0.5,0.5,0,0,3.902,2.6128,3.3231,0.389,0.5789,60,0
app_1021,3,0.5,0.5,0.5,0,0,3.0638,2.6416,2.8723,0.1171,0.1915,60,0
app_1022,2,0.5,0.5,0.5,0,0,3.6553,2.4697,3.1728,0.3054,0.4826,60,0
app_1023,2,0.5,0.5,0.5,0,0,4.2265,1,3.3006,0.4657,0.9259,80,0
app_1024,123,3.04,0.522,1.0815,0.5169,1.9585,9.3126,8.7491,9.216,0.0942,0.0966,60,0
app_1025,4,0.5,0.5,0.5,0,0,5.0561,4.0727,4.8393,0.129,0.2168,40,0
app_1026,12,4,0.5,1.0002,0.5469,2.9998,4.7646,1,4.4492,0.5234,0.3154,60,0
app_1027,2,0.5,0.5,0.5,0,0,5.1945,3.6248,4.8496,0.3968,0.3448,60,0
app_1028,1,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1029,1,0.5,0.5,0.5,0,0,3.1617,2.5782,2.986,0.1209,0.1756,80,0
app_103,8,2.562,0.5,0.654,0.2585,1.908,6.2472,5.1708,5.6945,0.2895,0.5527,60,0
app_1030,1,2.54,0.5,0.5383,0.2679,2.0017,3.9616,2.949,3.4534,0.1869,0.5082,60,0
app_1031,6,1.868,0.5,0.5148,0.1382,1.3532,1,1,1,0,0,60,0
app_1032,2,0.5,0.5,0.5,0,0,3.2968,2.8827,3.1532,0.1108,0.1436,60,0
app_1033,4,0.5,0.5,0.5,0,0,4.1897,1,3.7129,0.4404,0.4768,60,0
app_1034,2,0.96,0.5,0.5083,0.0582,0.4517,3.8751,2.8505,3.6564,0.2513,0.2186,60,0
app_1035,1,0.5,0.5,0.5,0,0,2.5819,2.1193,2.3764,0.1843,0.2056,60,0
app_1036,4,2.801,0.5,0.9832,0.507,1.8178,5.2007,4.5804,4.8997,0.1691,0.3009,300,0
app_1037,2,0.5,0.5,0.5,0,0,4.2969,2.594,3.7622,0.5418,0.5348,60,0
app_1038,1,8,8,8,0,0,16,16,16,0,0,80,0
app_1039,1,4,4,4,0,0,8,8,8,0,0,60,0
app_104,1,4,4,4,0,0,8,8,8,0,0,60,0
app_1040,28,2.157,0.532,1.0549,0.2869,1.1021,6.3481,5.7931,6.1299,0.1755,0.2182,60,0
app_1041,1,0.5,0.5,0.5,0,0,1.2903,1,1.0666,0.0994,0.2237,60,0
app_1042,1,0.5,0.5,0.5,0,0,2.919,2.6681,2.7651,0.0652,0.1539,60,0
app_1043,2,0.5,0.5,0.5,0,0,3.7593,2.5723,3.0073,0.3446,0.752,60,0
app_1044,6,1.815,0.5,0.9254,0.2899,0.8896,5.0611,4.5416,4.9883,0.0934,0.0729,60,0
app_1045,19,3.162,0.5,0.5649,0.334,2.5971,5.3043,1,4.6263,1.2423,0.678,60,0
app_1046,44,2.121,0.5,1.2326,0.4454,0.8884,24.5574,1,23.6976,2.3787,0.8598,100,0
app_1047,1,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1048,4,0.904,0.5,0.5041,0.0408,0.3999,4.5323,2.6985,4.2532,0.5174,0.2792,60,0
app_1049,4,0.5,0.5,0.5,0,0,4.1455,2.4969,3.9869,0.2406,0.1586,60,0
app_105,1,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1050,5,0.5,0.5,0.5,0,0,4.6402,3.049,4.3908,0.2292,0.2494,60,0
app_1051,77,3.536,0.5,1.3689,0.6019,2.1671,6.3405,5.1877,5.6119,0.3105,0.7286,40,0
app_1052,1,1.28,0.5,0.5091,0.0789,0.7709,5.1621,4.8227,4.983,0.0817,0.179,60,0
app_1053,1,0.5,0.5,0.5,0,0,1.006,1,1.0001,0.0006,0.006,60,0
app_1054,1,3.767,0.5,0.7015,0.4578,3.0655,3.8027,2.5787,3.221,0.4302,0.5817,60,0
app_1055,3,0.812,0.5,0.5181,0.0654,0.2939,4.7217,3.1615,4.0165,0.3294,0.7052,60,0
app_1056,1,0.5,0.5,0.5,0,0,1.1701,1,1.0425,0.0684,0.1277,60,0
app_1057,4,0.5,0.5,0.5,0,0,3.6369,2.9692,3.3587,0.1839,0.2781,60,0
app_1058,1,0.5,0.5,0.5,0,0,2.7508,2.4037,2.5299,0.1205,0.2209,60,0
app_1059,31,3.808,0.5,1.712,0.9532,2.096,7.1985,6.8434,7.0857,0.0649,0.1127,60,0
app_106,1,6.018,0.5,0.8102,1.1287,5.2078,6.9731,1,4.8294,1.6837,2.1437,60,0
app_1060,2,0.5,0.5,0.5,0,0,3.5868,3.1538,3.4411,0.1105,0.1457,60,0
app_1061,1,0.5,0.5,0.5,0,0,3.0891,2.8276,2.9535,0.0789,0.1356,60,0
app_1062,1,1.559,0.5,0.548,0.2091,1.011,4.8062,4.4576,4.612,0.1028,0.1942,60,0
app_1063,2,0.5,0.5,0.5,0,0,4.3077,2.75,3.4098,0.5365,0.8979,60,0
app_1064,1,0.5,0.5,0.5,0,0,3.4003,2.8799,3.1192,0.1697,0.2811,60,0
app_1065,1,0.5,0.5,0.5,0,0,4.3246,2.5248,3.2308,0.5336,1.0938,60,0
app_1066,30,2.349,0.5,0.9485,0.3385,1.4005,6.5043,1,5.6757,0.7811,0.8287,60,0
app_1067,50,2.623,0.548,0.895,0.4007,1.728,6.6295,6.1367,6.4866,0.0785,0.1429,40,0
app_1068,2,0.5,0.5,0.5,0,0,2.9195,1,2.6831,0.3267,0.2364,60,0
app_1069,2,0.5,0.5,0.5,0,0,3.1141,2.5615,2.9888,0.1553,0.1252,60,0
app_107,1,4,4,4,0,0,8,8,8,0,0,60,0
app_1070,4,0.541,0.5,0.5004,0.0041,0.0406,1,1,1,0,0,60,0
app_1071,23,2.242,0.5,0.7656,0.309,1.4764,9.0886,8.4725,8.8873,0.1506,0.2013,60,0
app_1072,6,0.5,0.5,0.5,0,0,5.3725,1,3.9744,1.8964,1.3982,80,0
app_1073,2,0.5,0.5,0.5,0,0,1.9617,1,1.4031,0.367,0.5585,60,0
app_1074,1,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1075,2,0.5,0.5,0.5,0,0,2.5003,1,1.1308,0.3424,1.3694,60,0
app_1076,1,0.5,0.5,0.5,0,0,2.837,2.3781,2.7241,0.0938,0.1129,60,0
app_1077,3,0.5,0.5,0.5,0,0,5.7772,3.1502,4.348,0.5246,1.4292,60,0
app_1078,2,0.5,0.5,0.5,0,0,3.8003,2.8698,3.6465,0.1907,0.1538,60,0
app_1079,1,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_108,3,0.5,0.5,0.5,0,0,2.9979,1.663,2.2928,0.4865,0.7052,500,0
app_1080,2,0.5,0.5,0.5,0,0,3.6464,2.2209,2.5033,0.4005,1.143,60,0
app_1081,1,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1082,1,0.5,0.5,0.5,0,0,5.6899,4.4299,5.1825,0.2961,0.5074,60,0
app_1083,5,1.341,0.5,0.5463,0.1428,0.7947,5.7524,4.9652,5.3663,0.1528,0.3861,60,0
app_1084,2,1.086,0.5,0.506,0.0592,0.58,3.601,2.874,3.3868,0.2101,0.2142,60,0
app_1085,2,1.032,0.5,0.5208,0.1016,0.5112,5.5991,2.8322,4.2265,0.8725,1.3726,60,0
app_1086,2,0.5,0.5,0.5,0,0,2.8947,2.4892,2.7773,0.0877,0.1175,60,0
app_1087,2,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1088,1,4,4,4,0,0,8,8,8,0,0,60,0
app_1089,2,0.5,0.5,0.5,0,0,5.0255,3.6874,4.6005,0.3315,0.425,60,0
app_109,2,2.56,0.5,0.8965,0.4298,1.6635,6.0901,4.8658,5.36,0.2785,0.7301,60,0
app_1090,4,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1091,12,4,0.5,1.4157,1.3422,2.5843,7.9352,5.4218,7.7866,0.2478,0.1486,60,0
app_1092,1,0.5,0.5,0.5,0,0,2.9962,2.4157,2.791,0.1592,0.2052,60,0
app_1093,3,0.5,0.5,0.5,0,0,3.2853,2.8933,3.0928,0.0992,0.1925,60,0
app_1094,1,4,4,4,0,0,8,8,8,0,0,60,0
app_1095,1,0.5,0.5,0.5,0,0,4.193,3.9643,4.0529,0.0572,0.1401,60,0
app_1096,15,1.279,0.5,0.6142,0.1649,0.6648,5.5488,3.6364,4.4782,0.4502,1.0705,60,0
app_1097,34,2.882,0.523,1.2819,0.5472,1.6001,6.4155,1,5.4684,0.5243,0.9471,60,0
app_1098,2,0.5,0.5,0.5,0,0,3.9859,3.3039,3.6141,0.2037,0.3719,60,0
app_1099,15,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_11,1,0.5,0.5,0.5,0,0,2.4034,1.8986,2.1488,0.1392,0.2546,60,0
