      1 total(100): {40,60}
      1 total(1000): {1000}
      4 total(1010): {60,60,60,60,60,60,650}
     38 total(1020): {120,300,300,300}
     27 total(1020): {120,300,600}
    446 total(1020): {60,60,100,100,100,100,100,100,100,100,100}
      1 total(1020): {60,60,100,150,650}
      1 total(1020): {60,60,60,60,60,60,60,100,100,100,100,100,100}
   1829 total(1020): {60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60}
     92 total(1020): {80,80,80,80,100,100,100,100,100,100,100}
      1 total(1020): {80,80,80,80,100,100,100,200,200}
    164 total(1020): {80,80,80,80,100,200,200,200}
    164 total(1020): {80,80,80,80,150,150,200,200}
    131 total(1020): {80,80,80,80,200,200,300}
     60 total(1020): {80,80,80,80,200,500}
      8 total(1024): {1024}
      2 total(1024): {120,120,150,167,167,300}
     24 total(1024): {120,120,167,167,200,250}
      7 total(1024): {150,167,167,180,180,180}
      1 total(587): {40,40,40,40,40,40,40,40,40,60,167}
    351 total(600): {40,40,40,40,40,40,40,40,40,40,40,40,40,40,40}
      1 total(600): {40,40,40,40,40,40,40,40,40,40,40,40,60,60}
   2152 total(600): {60,60,60,60,60,60,60,60,60,60}
