cap.disk,mid,score,avl.cpu.min,util.cpu.max,util.cpu.avg,avl.mem.min,util.mem.max,util.mem.avg,avl.disk,util.disk,alv.p,inst.cnt,inst.list
2457,machine_3003,1.5,29,68%,53%,32,89%,89%,637,74%,6,29,"[40,60*25,80,100*2]"
2457,machine_3004,3.5,1,99%,72%,30,90%,89%,837,66%,7,24,"[40*4,60*16,100*3,200]"
2457,machine_3005,1.2,35,62%,46%,68,76%,75%,757,69%,7,27,"[40*3,60*20,80,100*3]"
2457,machine_3006,2.1,29,69%,60%,38,87%,84%,657,73%,7,27,"[40*4,60*18,80*2,100*2,200]"
2457,machine_3007,2.5,14,85%,64%,43,85%,84%,597,76%,7,28,"[40*2,60*23,100*2,200]"
2457,machine_3009,3.2,11,88%,69%,135,53%,53%,1377,44%,7,17,"[40,60*14,100*2]"
2457,machine_3010,1.2,36,61%,48%,14,95%,95%,557,77%,6,31,"[40*4,60*22,80*4,100]"
2457,machine_3011,3.5,6,94%,71%,21,93%,90%,617,75%,6,28,"[40*3,60*21,80*2,100,200]"
2457,machine_3012,1.8,24,74%,56%,135,53%,53%,1297,47%,6,17,"[40*3,60*11,80,100,200]"
2457,machine_3013,3.9,4,96%,75%,62,79%,77%,787,68%,6,27,"[40*2,60*24,150]"
2457,machine_3014,3.1,3,96%,66%,72,75%,74%,1257,49%,6,20,"[40*4,60*13,80*2,100]"
2457,machine_3015,2.2,18,80%,60%,76,74%,72%,1037,58%,6,24,"[40*2,60*21,80]"
2457,machine_3016,1.8,21,77%,53%,77,73%,71%,687,72%,7,26,"[40,60*20,80,100*3,150]"
2457,machine_3017,4.1,7,93%,76%,10,97%,94%,617,75%,7,29,"[40*7,60*21,300]"
2457,machine_3018,1.0,40,56%,44%,40,86%,85%,817,67%,7,18,"[40,60*12,80,100,200*2,300]"
2457,machine_3020,2.8,8,91%,65%,15,95%,92%,937,62%,6,26,"[40*3,60*22,80]"
2457,machine_3021,4.5,4,95%,80%,44,85%,84%,457,81%,7,30,"[40*3,60*23,100*3,200]"
2457,machine_3022,2.9,16,83%,67%,32,89%,88%,737,70%,7,26,"[40,60*20,80,100*4]"
2457,machine_3024,2.7,21,77%,65%,93,68%,67%,1057,57%,6,22,"[40,60*18,80,100*2]"
2457,machine_3027,3.7,2,97%,73%,38,87%,86%,1217,50%,5,19,"[40,60*15,100*3]"
2457,machine_3028,1.3,31,66%,49%,81,72%,71%,153,94%,6,21,"[40*3,60*13,80,100*3,1024]"
2457,machine_3029,2.2,26,72%,61%,80,72%,64%,647,74%,7,26,"[40,60*22,100,150,200]"
2457,machine_3032,3.4,3,97%,70%,9,97%,95%,537,78%,6,30,"[40*3,60*22,80,100*4]"
2457,machine_3033,1.7,25,73%,55%,39,86%,85%,737,70%,6,28,"[40,60*25,80,100]"
2457,machine_3036,2.2,19,79%,58%,96,67%,66%,1217,50%,7,16,"[60*14,100,300]"
2457,machine_3037,2.9,19,80%,67%,9,97%,91%,567,77%,6,25,"[40*2,60*18,80,100,150,200*2]"
2457,machine_3038,2.1,20,78%,59%,37,87%,87%,757,69%,7,24,"[60*22,80,300]"
2457,machine_3040,2.6,17,82%,64%,112,61%,60%,957,61%,7,22,"[40*2,60*16,80*2,100,200]"
2457,machine_3041,2.9,16,82%,66%,49,83%,81%,577,77%,7,26,"[40*3,60*18,80,100*2,200*2]"
2457,machine_3044,3.8,8,91%,74%,45,84%,81%,517,79%,7,25,"[60*16,80,100*7,200]"
2457,machine_3045,3.2,10,89%,69%,116,60%,59%,1337,46%,6,16,"[40*3,60*10,100*2,200]"
2457,machine_3046,1.8,25,73%,57%,48,83%,82%,1057,57%,6,25,"[40*5,60*20]"
2457,machine_3049,4.1,6,94%,77%,38,87%,86%,737,70%,6,23,"[40,60*18,100*3,300]"
2457,machine_3050,3.7,5,95%,73%,24,92%,90%,977,60%,7,23,"[40*2,60*16,80*3,100*2]"
2457,machine_3052,2.7,14,85%,64%,6,98%,97%,797,68%,6,18,"[40,60*12,100*2,200*2,300]"
2457,machine_3053,2.7,21,77%,65%,77,73%,73%,937,62%,7,23,"[60*19,80,100*3]"
